Temperature Wrist,Temperature Forehead,Temperature Body
33.99001,36.14999,36.1
33.95,36.47,36.1
32.96999,37.07001,36.1
33.95,36.47,36.1
33.86999,36.09,36.1
33.86999,36.04999,36
33.13,36.91,36
33.05001,36.98999,36
33.01,37.07001,36
33.11001,36.92999,36
33.01,37.07001,36
33.68999,36.31,36.2
33.95,36.45001,36.2
33.86999,36.04999,36.2
33.07,36.95001,36.2
33.13,36.91,36.2
33.11001,36.92999,36.2
33.74999,36.25,36
33.91,35.91,36
33.01,37.07001,36
33.99001,36.14999,36
33.92999,35.79001,36
33.86999,36.04999,36
33.95,36.45001,36.1
33.85,36.09,36.1
33.99001,36.10999,36.1
33.99001,36.10999,36.1
33.92999,35.75,36.1
33.95,36.45001,36.1
33.99001,36.09,35.9
33.91,35.91,35.9
33.79,36.19,35.9
33.92999,35.75,35.9
33.95,36.45001,35.9
33.86999,36.04999,35.9
33.01,37.07001,36.1
33.86999,36.04999,36.1
33.91,35.89001,36.1
33.80999,36.17001,36.1
33.80999,36.17001,36.1
33.70998,36.26999,36.1
33.91,35.89001,36
33.01,37.04999,36
33.80999,36.14999,36
33.86999,36.04999,36
33.92999,35.75,36
33.67001,36.35001,36
33.68999,36.31,36
33.99001,36.03,36
33.85,36.09,36
33.79,36.19,36
33.67001,36.32999,36
33.80999,36.13,36
33.91,35.89001,36
33.70998,36.26999,36
33.79,36.19,36
33.86999,36.04999,36
33.74999,36.25,36
33.91,35.87,36
33.70998,36.26999,36.1
33.91,35.87,36.1
33.74999,36.25,36.1
33.63,36.39001,36.1
33.58999,36.41,36.1
33.52999,36.48999,36.1
33.79,36.19,36
33.58999,36.42999,36
33.68999,36.31,36
33.80999,36.13,36
33.74999,36.25,36
33.63,36.37,36
33.85,36.09,36
33.80999,36.13,36
33.70998,36.26999,36
33.79,36.19,36
33.70998,36.26999,36
33.74999,36.25,36
33.41,36.64999,36.1
33.61001,36.41,36.1
33.46999,36.57001,36.1
33.68999,36.31,36.1
33.61001,36.41,36.1
33.46999,36.57001,36
33.41,36.64999,36
33.58999,36.42999,36
