Temperature Wrist,Temperature Forehead
31.70999,33.67001
31.61001,33.57
32.68999,35.39001
32.73001,35.47
31.11001,32.91
32.49002,35.11001
32.20999,34.67001
32.85,35.70998
33.13,35.92999
33.05001,35.85
32.24999,34.85
32.36999,34.99002
32.19,34.42999
32.11001,34.11001
32.07,33.97
32.20999,34.61001
32.77001,35.61001
32.08999,33.99002
32.24999,34.83001
32.14999,34.33001
33.17001,35.92999
31.05001,32.89001
33.17001,35.92999
32.80999,35.68999
33.01,35.85
31.57,33.49002
32.42999,35.08999
32.57,35.20998
32.61001,35.27001
32.05001,33.91
32.89001,35.77001
33.27001,35.96999
32.29,34.89001
32.39001,35.05001
32.52999,35.17001
31.13,32.99002
31.52999,33.35
32.08999,33.99002
33.14999,35.92999
32.30999,34.91
32.52999,35.13
32.29,34.86999
32.74999,35.52999
31.01,32.85
32.57,35.20998
32.55001,35.18999
32.57,35.24999
32.85,35.73
32.74999,35.53
32.35,34.99002
32.51,35.13
32.45,35.08999
32.69,35.41
33.05001,35.86999
32.97,35.83001
31.33001,33.13
32.80999,35.68999
32.11001,34.18999
32.33001,34.96999
32.41,35.07
32.79,35.67001
32.58999,35.24999
32.80999,35.68999
32.02999,33.83001
32.52999,35.17001
32.29,34.89001
33.36999,36.01
32.13,34.27001
32.52999,35.13
32.05001,33.89001
32.73001,35.48
32.41,35.08999
32.89001,35.79
32.69,35.42999
32.23001,34.68999
32.51,35.13
32.05001,33.85
32.27001,34.85
32.41,35.07
32.13,34.20999
33.11001,35.91
